,Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
0,<td>Aarav Info Solutions</td>,<td>2009</td>,<td>Ahmedabad</td>,<td>Information&amp;Technology</td>,<td>AIS- Aarav Info Solutions is Web solutions Company based in Ahmadabad India who help Businesses to grow Online</td>,<td></td>,<td></td>,<td>$</td>,<td></td>
1,<td>Better Beauty</td>,<td>2022</td>,<td>Delhi</td>,<td>Cosmetics</td>,"<td>Better Beauty is committed to delivering clean, pure potent and biocompatible products that are biocompatible and sustainable</td>",<td></td>,<td>Lotus Herbals</td>,<td>$200000</td>,<td>Undisclosed</td>
2,<td>Goofy Tails</td>,<td>2018</td>,<td>Delhi</td>,<td>Nutrition</td>,<td>Goofy Tails is a premium pet supplies company</td>,<td></td>,<td>BeyondSeed and The Chennai Angels</td>,<td>$500000</td>,<td></td>
3,<td>Wright Reseach</td>,<td>2019</td>,<td>Mumbai</td>,<td>Artificial Intelligence</td>,<td></td>,<td>Sonam Srivastava</td>,<td>Orios Venture Partners and Ajat Hukkoo</td>,<td>$1100000</td>,<td>Seed</td>
4,<td>Gigforce</td>,<td>2020</td>,<td>Bengalaru</td>,<td>Information Technology</td>,<td>Wright Research used data and artificial intelligence to create smart investment products for everyone</td>,"<td>Anirudh Syal, Chirag Mittal, Parag Modi</td>",<td>Venture Catalysts and ZNL Growth</td>,<td>$507500000</td>,<td>Seed</td>
5,<td>BioPrime</td>,<td>2016</td>,<td>Pune</td>,<td>Biotechnology</td>,<td>A Start up with an endeavor to bring out disruptive innovations in Products as well as Services to improve and transform agriculture</td>,"<td>DR.AMIT SHINDE, RENUKA DIWAN, SHEKHAR BHOSALE</td>",<td>Inflexor Ventures and Omnivore</td>,<td>$2600000</td>,<td>Seed</td>
6,<td>Hubbler</td>,<td>2016</td>,<td>Karnataka</td>,<td>Information&amp;Technology</td>,<td>Hubbler helps enterprises automate their business processes into web &amp; mobile apps in 24 hours without writing a single line of code</td>,<td>Vinay Agarawal</td>,<td>LenDenClub Alpha and Unicorn India Ventures</td>,<td>$1500000</td>,<td>Seed</td>
7,<td>Trendlyne</td>,<td>2016</td>,<td>Banglore</td>,<td>Financial Services</td>,"<td>Trendlyne is a multi-geo analytics platform, that builds powerful equity analytics products for analysts, advisors and investors.</td>","<td>Amber Pabreja, Devi Yesodharan, Ketan Go</td>",<td>. IIFL Special Opportunities Fund and IIFL Securities</td>,<td>$2800000</td>,<td>SeriesA</td>
8,<td>MyySports</td>,<td>2020</td>,<td>New Delhi</td>,<td>Software</td>,<td>Gamifying the Phygital Experience of Sports</td>,"<td>Kinshuk Sunil, Mathew Cyriac, Saurav Banerjee, Yogesh Aggrwal</td>",<td>MyHashstash</td>,<td>$2000000</td>,<td>Preseed</td>
9,<td>Oddr</td>,<td>2022</td>,<td>Sanfrancisco</td>,<td>Artificial Intelligence</td>,"<td>Oddr's goal is to develop an AI-enabled invoice product for businesses in the legal, accounting, and financial services industries</td>","<td>Milan Bobde, Sumit Garg and Saurabh Mehra</td>",<td>Twin Ventures and Saama Capital</td>,<td>$2000000</td>,<td>Seed</td>
10,<td>Yoho</td>,<td>2020</td>,<td>New Delhi</td>,<td>Manufacturing</td>,<td>Yoho manufactures orthopaedic lightweight footwear.</td>,<td>Ahmad Hushsham</td>,<td>Rajeev Misra and Vijay Shekhar Sharm</td>,<td>$2400000</td>,<td>SeriesA</td>
11,<td>Wishlink</td>,<td>2022</td>,<td>Gurgaon</td>,<td>Content Creator</td>,<td>Wishlink by promoting brands through its storefront enables social media content providers to monetise their influence.</td>,"<td>Chandan Yadav, Shaurya Gupta and Divyansh Ameta,</td>",<td>Sanjeev Barnwal and Shantanu Deshpande</td>,<td>$3000000</td>,<td>Seed</td>
12,<td>DaMENSCH</td>,<td>2018</td>,<td>Bengalaru</td>,<td>Textile</td>,<td>DaMENSCH designs men's apparel to create premium essential wear for modern men</td>,"<td>Anurag Saboo, Gaurav Pushkar</td>",<td>Saama Capital and Matrix Partners India</td>,<td>$190000000</td>,<td>Series B</td>
13,<td>Artium Academy</td>,<td>2020</td>,<td>Mumbai</td>,<td>Education</td>,<td>Artium Academy is an Online Music Education platform that makes learning fun and accessible to people of all ages</td>,"<td>Ashish Joshi, Nithya Sudhir</td>",<td>Chiratae Ventures and Piyush Shah</td>,<td>$3800000</td>,<td>Seed</td>
14,<td>Fittbudd</td>,<td>2021</td>,<td>Gurgaon</td>,<td>Wellness</td>,"<td>FitBudd is an online platform that provides personal trainers, wellness coaches, and nutritionists for fitness coaching.</td>",<td>Abhishek Sharma</td>,<td>Sequoia Capital India and Waveform Ventures</td>,<td>$3400000</td>,<td>Seed</td>
15,<td>5CNetwork</td>,<td>2014</td>,<td>Benglaru</td>,<td>Healthcare</td>,"<td>5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate</td>","<td>Kalyan Sivasailam, Syed S Ahmed, Vishnu Madhu</td>",<td>Rohit Razdan and Shiv Tallam</td>,<td>$5800000</td>,<td>Series A</td>
16,<td>Explorex</td>,<td>2020</td>,<td>Banglore</td>,<td>SaaS</td>,<td>Explorex is an all-in-one ecosystem of software suite &amp; business management platform for offline businesses.</td>,"<td>Mainak Sarkar, Pritam Khan</td>",<td>Taher Savliwala and Kevin Lin</td>,<td>$6000000</td>,<td>Seed</td>
17,<td>FlickStree</td>,<td>2014</td>,<td>Mumbai</td>,<td>Digital Media</td>,<td>Flickstree is a AI-enabled video publisher network that allows the user to engage and monetize their traffic	#REF!</td>,<td>Angelbay and Samsung Ventures</td>,<td>$10600000</td>,<td>SeriesB</td>,<td></td>
18,<td>Vecmocon</td>,<td>2016</td>,<td>New Delhi</td>,<td>Information Technology</td>,<td>Core technologies for electric mobility</td>,"<td>Nagender Sangra, Rahul Jain, Saurabh Singh"" with ""Peeyush Asa</td>",<td>Tiger Global Management and Blume Ventures</td>,<td>$5300000</td>,<td>Seed</td>
19,<td>Isthara</td>,<td>2016</td>,<td>Hyderabad</td>,<td>Hospitality</td>,"<td>Isthara offers shared-living accommodations as well as a variety of facilities, to working professionals and students</td>","<td>Gilbert Lourduraj, Vijayan Krishna Kumar</td>",<td>Eagle Investments and Eagle Proprietary Investments</td>,<td>$20900000</td>,<td>Series B</td>
20,<td>Assidus Global</td>,<td></td>,<td>Wilmington</td>,<td>E-Commerce</td>,<td>Assiduus Global is a full service E-Commerce management company.</td>,<td>Somdutt Singh</td>,"<td>Isthara offers shared-living accommodations as well as a variety of facilities, to working professionals and students</td>",<td>$1700000</td>,<td>SeriesA</td>
21,<td>Better Beauty</td>,<td>2022</td>,<td>Delhi</td>,<td>Beauty</td>,"<td>Better Beauty is committed to delivering clean, pure potent and biocompatible products that are biocompatible and sustainable</td>",<td>Anita Hassanandan</td>,<td>Lotus Herbals.</td>,<td>$200000</td>,<td>Undisclosed</td>
22,<td>Avataar Venture Partners</td>,<td>2019</td>,<td>Banglore</td>,<td>Financial Services</td>,<td>Avataar Venture Partners is an operating VC firm that focuses purely on growth-stage B2B technology investmen</td>,"<td>Mohan Kumar, Nishant Rao</td>",<td>Avataar Venture Partners Fund II</td>,<td>$</td>,<td></td>
23,<td>Reevoy</td>,<td>2020</td>,<td>United Kingdom</td>,<td>Home-Decor</td>,"<td>Reevoy is on a mission to create tech-powered, quality-guaranteed supply chains for Fashion and Home-Décor between South Asia and the world.</td>","<td>Ankur Khetan, Ishan Dadhich, Mohit Agarwal</td>",<td>Kilde and Earlsfield Capital</td>,<td>$10800000</td>,<td>Undisclose</td>
24,<td>Investmint</td>,<td>2022</td>,<td>Bengalaru</td>,<td>Trading Platform</td>,<td>Investmint is a provider of signal-based trading and investing platforms</td>,<td></td>,<td>Nexus Venture Partners</td>,<td>$200000</td>,<td>Seed</td>
25,<td>BeepKart</td>,<td>2020</td>,<td>Benglaru</td>,"<td>Automotive	""</td>",<td>BeepKart is a full-stack online retailer of used 2-wheelers.</td>,<td></td>,<td></td>,<td></td>,<td></td>
26,"<td>""</td>","<td>Abhishek Saraf, Hemir Doshi</td>",<td>Chiratae Ventures and Stellaris Venture Partners</td>,<td>$12800000</td>,<td>Series A</td>,<td></td>,<td></td>,<td></td>,<td></td>
27,<td>RevFin</td>,<td>2018</td>,<td>Delhi</td>,<td>Fintech</td>,<td>RevFin is a digital onboarding platform that provides loans.</td>,<td>Sameer Aggarwal</td>,<td>Green Frontier Capital and LC Nueva Investment Partners</td>,<td>$266000000</td>,<td>Series A</td>
28,<td>Tring</td>,<td>2019</td>,<td>Mumbai</td>,<td>Social Media</td>,"<td>Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages</td>",<td>Rahul Saini</td>,<td>Redbrook Pte Ltd and Blume Founders Fund</td>,<td>$7400000</td>,<td>Seed</td>
29,<td>Carapace</td>,<td>2009</td>,<td>Mumbai</td>,<td>Digital Marketing</td>,<td>Full-scale integrated web &amp; digital agency</td>,<td>Dhaval Sondagar</td>,<td></td>,<td>$</td>,<td></td>
30,<td>Soothe Healthcare</td>,<td>2012</td>,<td>Noida</td>,<td>Healthcare</td>,"<td>Soothe Healthcare is an engaged in manufacturing, marketing &amp; distributing Consumer-Healthcare products</td>",<td>Sahil Dharia</td>,<td>Sixth Sense Ventures and A91 Partners</td>,<td>$38700000</td>,<td>Undisclosed</td>
31,<td>EMotorad</td>,<td>2020</td>,<td>Pune</td>,<td>Manufacturing</td>,<td>EMotorad is an electric vehicles company that provides high-quality electric cycles at an affordable price</td>,"<td>Aditya Oza, Kunal Gupta, Rajib Gangopadhyay, Sumedh Battewar</td>",<td>Ivy Growth Associates and LetsVenture</td>,<td>$46500000</td>,<td>Seed</td>
32,<td>Impact Analytics</td>,<td>2015</td>,<td>Linthicum Heights</td>,<td>Artificial Intelligence</td>,<td>Impact Analytics builds 360-degree data science solutions to empower enterprises to turn their data into dollar</td>,<td>Prashant Agarwal</td>,<td>The Argentum Group and The Argentum Group</td>,<td>$21800000</td>,<td>Series B</td>
33,<td>DeHaat</td>,<td>2012</td>,<td>Bihar</td>,<td>Agriculture</td>,<td>DeHaat is an AgriTech startup that offers technology solutions to improve supply chain and production efficiency in farming.</td>,"<td>Adarsh Srivastava, Amrendra Singh, Shashank Kumar, Shyam Sundar Singh</td>",<td>RTP Global and Sofina</td>,<td>$238600000</td>,<td>Series E</td>
34,<td>BluSapphire Cyber System</td>,<td>2017</td>,<td>Stamford</td>,<td>Information Technology</td>,<td>BluSapphire Technologies is the first and only unified cyber defense platform with intelligent response automation</td>,<td>Kiran Kumar Vangaveti</td>,<td>Baring Private Equity India and Dallas Venture Capital</td>,<td>$9200000</td>,<td>Series B</td>
35,<td>Sama</td>,<td>2015</td>,<td>Bengalaru</td>,<td>Legal</td>,<td>Sama helps people to resolve their dispute with help of a mediator through the process called mediation</td>,"<td>Pranjal Sinha, Vikram Kumar</td>",<td>Campus Fund</td>,<td>$</td>,<td>Seed</td>
36,<td>Himshakti</td>,<td>2019</td>,<td>Dehradun</td>,<td>Food and Beverages</td>,<td>We are the first company to launch Indian pink salt. We also cater to restaurants and supply our products pan India</td>,<td>Harshit Sehdev</td>,<td>Indian Institute of Management Kashipur and Varun Agrawal</td>,<td>$1700000</td>,<td>Pre seed</td>
37,<td>GoFloaters</td>,<td>2017</td>,<td>Chennai</td>,<td>Information Technology</td>,<td>Pay-per-use office spaces for work and meetings across India</td>,"<td>Shyam Sundar Nagarajan, Srivatsan Padmanabhan</td>",<td>Loyal VC</td>,<td>$</td>,<td>Seed</td>
38,<td>Kinara Capital</td>,<td>2011</td>,<td>Bengalaru</td>,<td>Financial Services</td>,<td>Kinara Capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs</td>,<td>Hardika Shah</td>,<td>Nuveen Investments and British International Investment</td>,<td>$153500000</td>,<td>Unknown</td>
39,<td>Aarav Info Solutions</td>,<td>2009</td>,<td>Ahmedabad</td>,<td>Information&amp;Technology</td>,<td>AIS- Aarav Info Solutions is Web solutions Company based in Ahmadabad India who help Businesses to grow Online</td>,<td></td>,<td></td>,<td>$</td>,<td></td>
40,<td>Better Beauty</td>,<td>2022</td>,<td>Delhi</td>,<td>Cosmetics</td>,"<td>Better Beauty is committed to delivering clean, pure potent and biocompatible products that are biocompatible and sustainable</td>",<td></td>,<td>Lotus Herbals</td>,<td>$200000</td>,<td>Undisclosed</td>
41,<td>Goofy Tails</td>,<td>2018</td>,<td>Delhi</td>,<td>Nutrition</td>,<td>Goofy Tails is a premium pet supplies company</td>,<td></td>,<td>BeyondSeed and The Chennai Angels</td>,<td>$500000</td>,<td></td>
42,<td>Wright Reseach</td>,<td>2019</td>,<td>Mumbai</td>,<td>Artificial Intelligence</td>,<td></td>,<td>Sonam Srivastava</td>,<td>Orios Venture Partners and Ajat Hukkoo</td>,<td>$1100000</td>,<td>Seed</td>
43,<td>Gigforce</td>,<td>2020</td>,<td>Bengalaru</td>,<td>Information Technology</td>,<td>Wright Research used data and artificial intelligence to create smart investment products for everyone</td>,"<td>Anirudh Syal, Chirag Mittal, Parag Modi</td>",<td>Venture Catalysts and ZNL Growth</td>,<td>$507500000</td>,<td>Seed</td>
44,<td>BioPrime</td>,<td>2016</td>,<td>Pune</td>,<td>Biotechnology</td>,<td>A Start up with an endeavor to bring out disruptive innovations in Products as well as Services to improve and transform agriculture</td>,"<td>DR.AMIT SHINDE, RENUKA DIWAN, SHEKHAR BHOSALE</td>",<td>Inflexor Ventures and Omnivore</td>,<td>$2600000</td>,<td>Seed</td>
45,<td>Hubbler</td>,<td>2016</td>,<td>Karnataka</td>,<td>Information&amp;Technology</td>,<td>Hubbler helps enterprises automate their business processes into web &amp; mobile apps in 24 hours without writing a single line of code</td>,<td>Vinay Agarawal</td>,<td>LenDenClub Alpha and Unicorn India Ventures</td>,<td>$1500000</td>,<td>Seed</td>
46,<td>Trendlyne</td>,<td>2016</td>,<td>Banglore</td>,<td>Financial Services</td>,"<td>Trendlyne is a multi-geo analytics platform, that builds powerful equity analytics products for analysts, advisors and investors.</td>","<td>Amber Pabreja, Devi Yesodharan, Ketan Go</td>",<td>. IIFL Special Opportunities Fund and IIFL Securities</td>,<td>$2800000</td>,<td>SeriesA</td>
47,<td>MyySports</td>,<td>2020</td>,<td>New Delhi</td>,<td>Software</td>,<td>Gamifying the Phygital Experience of Sports</td>,"<td>Kinshuk Sunil, Mathew Cyriac, Saurav Banerjee, Yogesh Aggrwal</td>",<td>MyHashstash</td>,<td>$2000000</td>,<td>Preseed</td>
48,<td>Oddr</td>,<td>2022</td>,<td>Sanfrancisco</td>,<td>Artificial Intelligence</td>,"<td>Oddr's goal is to develop an AI-enabled invoice product for businesses in the legal, accounting, and financial services industries</td>","<td>Milan Bobde, Sumit Garg and Saurabh Mehra</td>",<td>Twin Ventures and Saama Capital</td>,<td>$2000000</td>,<td>Seed</td>
49,<td>Yoho</td>,<td>2020</td>,<td>New Delhi</td>,<td>Manufacturing</td>,<td>Yoho manufactures orthopaedic lightweight footwear.</td>,<td>Ahmad Hushsham</td>,<td>Rajeev Misra and Vijay Shekhar Sharm</td>,<td>$2400000</td>,<td>SeriesA</td>
50,<td>Wishlink</td>,<td>2022</td>,<td>Gurgaon</td>,<td>Content Creator</td>,<td>Wishlink by promoting brands through its storefront enables social media content providers to monetise their influence.</td>,"<td>Chandan Yadav, Shaurya Gupta and Divyansh Ameta,</td>",<td>Sanjeev Barnwal and Shantanu Deshpande</td>,<td>$3000000</td>,<td>Seed</td>
51,<td>DaMENSCH</td>,<td>2018</td>,<td>Bengalaru</td>,<td>Textile</td>,<td>DaMENSCH designs men's apparel to create premium essential wear for modern men</td>,"<td>Anurag Saboo, Gaurav Pushkar</td>",<td>Saama Capital and Matrix Partners India</td>,<td>$190000000</td>,<td>Series B</td>
52,<td>Artium Academy</td>,<td>2020</td>,<td>Mumbai</td>,<td>Education</td>,<td>Artium Academy is an Online Music Education platform that makes learning fun and accessible to people of all ages</td>,"<td>Ashish Joshi, Nithya Sudhir</td>",<td>Chiratae Ventures and Piyush Shah</td>,<td>$3800000</td>,<td>Seed</td>
53,<td>Fittbudd</td>,<td>2021</td>,<td>Gurgaon</td>,<td>Wellness</td>,"<td>FitBudd is an online platform that provides personal trainers, wellness coaches, and nutritionists for fitness coaching.</td>",<td>Abhishek Sharma</td>,<td>Sequoia Capital India and Waveform Ventures</td>,<td>$3400000</td>,<td>Seed</td>
54,<td>5CNetwork</td>,<td>2014</td>,<td>Benglaru</td>,<td>Healthcare</td>,"<td>5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate</td>","<td>Kalyan Sivasailam, Syed S Ahmed, Vishnu Madhu</td>",<td>Rohit Razdan and Shiv Tallam</td>,<td>$5800000</td>,<td>Series A</td>
55,<td>Explorex</td>,<td>2020</td>,<td>Banglore</td>,<td>SaaS</td>,<td>Explorex is an all-in-one ecosystem of software suite &amp; business management platform for offline businesses.</td>,"<td>Mainak Sarkar, Pritam Khan</td>",<td>Taher Savliwala and Kevin Lin</td>,<td>$6000000</td>,<td>Seed</td>
56,<td>FlickStree</td>,<td>2014</td>,<td>Mumbai</td>,<td>Digital Media</td>,<td>Flickstree is a AI-enabled video publisher network that allows the user to engage and monetize their traffic	#REF!</td>,<td>Angelbay and Samsung Ventures</td>,<td>$10600000</td>,<td>SeriesB</td>,<td></td>
57,<td>Vecmocon</td>,<td>2016</td>,<td>New Delhi</td>,<td>Information Technology</td>,<td>Core technologies for electric mobility</td>,"<td>Nagender Sangra, Rahul Jain, Saurabh Singh"" with ""Peeyush Asa</td>",<td>Tiger Global Management and Blume Ventures</td>,<td>$5300000</td>,<td>Seed</td>
58,<td>Isthara</td>,<td>2016</td>,<td>Hyderabad</td>,<td>Hospitality</td>,"<td>Isthara offers shared-living accommodations as well as a variety of facilities, to working professionals and students</td>","<td>Gilbert Lourduraj, Vijayan Krishna Kumar</td>",<td>Eagle Investments and Eagle Proprietary Investments</td>,<td>$20900000</td>,<td>Series B</td>
59,<td>Assidus Global</td>,<td></td>,<td>Wilmington</td>,<td>E-Commerce</td>,<td>Assiduus Global is a full service E-Commerce management company.</td>,<td>Somdutt Singh</td>,"<td>Isthara offers shared-living accommodations as well as a variety of facilities, to working professionals and students</td>",<td>$1700000</td>,<td>SeriesA</td>
60,<td>Better Beauty</td>,<td>2022</td>,<td>Delhi</td>,<td>Beauty</td>,"<td>Better Beauty is committed to delivering clean, pure potent and biocompatible products that are biocompatible and sustainable</td>",<td>Anita Hassanandan</td>,<td>Lotus Herbals.</td>,<td>$200000</td>,<td>Undisclosed</td>
61,<td>Avataar Venture Partners</td>,<td>2019</td>,<td>Banglore</td>,<td>Financial Services</td>,<td>Avataar Venture Partners is an operating VC firm that focuses purely on growth-stage B2B technology investmen</td>,"<td>Mohan Kumar, Nishant Rao</td>",<td>Avataar Venture Partners Fund II</td>,<td>$</td>,<td></td>
62,<td>Reevoy</td>,<td>2020</td>,<td>United Kingdom</td>,<td>Home-Decor</td>,"<td>Reevoy is on a mission to create tech-powered, quality-guaranteed supply chains for Fashion and Home-Décor between South Asia and the world.</td>","<td>Ankur Khetan, Ishan Dadhich, Mohit Agarwal</td>",<td>Kilde and Earlsfield Capital</td>,<td>$10800000</td>,<td>Undisclose</td>
63,<td>Investmint</td>,<td>2022</td>,<td>Bengalaru</td>,<td>Trading Platform</td>,<td>Investmint is a provider of signal-based trading and investing platforms</td>,<td></td>,<td>Nexus Venture Partners</td>,<td>$200000</td>,<td>Seed</td>
64,<td>BeepKart</td>,<td>2020</td>,<td>Benglaru</td>,"<td>Automotive	""</td>",<td>BeepKart is a full-stack online retailer of used 2-wheelers.</td>,<td></td>,<td></td>,<td></td>,<td></td>
65,"<td>""</td>","<td>Abhishek Saraf, Hemir Doshi</td>",<td>Chiratae Ventures and Stellaris Venture Partners</td>,<td>$12800000</td>,<td>Series A</td>,<td></td>,<td></td>,<td></td>,<td></td>
66,<td>RevFin</td>,<td>2018</td>,<td>Delhi</td>,<td>Fintech</td>,<td>RevFin is a digital onboarding platform that provides loans.</td>,<td>Sameer Aggarwal</td>,<td>Green Frontier Capital and LC Nueva Investment Partners</td>,<td>$266000000</td>,<td>Series A</td>
67,<td>Tring</td>,<td>2019</td>,<td>Mumbai</td>,<td>Social Media</td>,"<td>Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages</td>",<td>Rahul Saini</td>,<td>Redbrook Pte Ltd and Blume Founders Fund</td>,<td>$7400000</td>,<td>Seed</td>
68,<td>Carapace</td>,<td>2009</td>,<td>Mumbai</td>,<td>Digital Marketing</td>,<td>Full-scale integrated web &amp; digital agency</td>,<td>Dhaval Sondagar</td>,<td></td>,<td>$</td>,<td></td>
69,<td>Soothe Healthcare</td>,<td>2012</td>,<td>Noida</td>,<td>Healthcare</td>,"<td>Soothe Healthcare is an engaged in manufacturing, marketing &amp; distributing Consumer-Healthcare products</td>",<td>Sahil Dharia</td>,<td>Sixth Sense Ventures and A91 Partners</td>,<td>$38700000</td>,<td>Undisclosed</td>
70,<td>EMotorad</td>,<td>2020</td>,<td>Pune</td>,<td>Manufacturing</td>,<td>EMotorad is an electric vehicles company that provides high-quality electric cycles at an affordable price</td>,"<td>Aditya Oza, Kunal Gupta, Rajib Gangopadhyay, Sumedh Battewar</td>",<td>Ivy Growth Associates and LetsVenture</td>,<td>$46500000</td>,<td>Seed</td>
71,<td>Impact Analytics</td>,<td>2015</td>,<td>Linthicum Heights</td>,<td>Artificial Intelligence</td>,<td>Impact Analytics builds 360-degree data science solutions to empower enterprises to turn their data into dollar</td>,<td>Prashant Agarwal</td>,<td>The Argentum Group and The Argentum Group</td>,<td>$21800000</td>,<td>Series B</td>
72,<td>DeHaat</td>,<td>2012</td>,<td>Bihar</td>,<td>Agriculture</td>,<td>DeHaat is an AgriTech startup that offers technology solutions to improve supply chain and production efficiency in farming.</td>,"<td>Adarsh Srivastava, Amrendra Singh, Shashank Kumar, Shyam Sundar Singh</td>",<td>RTP Global and Sofina</td>,<td>$238600000</td>,<td>Series E</td>
73,<td>BluSapphire Cyber System</td>,<td>2017</td>,<td>Stamford</td>,<td>Information Technology</td>,<td>BluSapphire Technologies is the first and only unified cyber defense platform with intelligent response automation</td>,<td>Kiran Kumar Vangaveti</td>,<td>Baring Private Equity India and Dallas Venture Capital</td>,<td>$9200000</td>,<td>Series B</td>
74,<td>Sama</td>,<td>2015</td>,<td>Bengalaru</td>,<td>Legal</td>,<td>Sama helps people to resolve their dispute with help of a mediator through the process called mediation</td>,"<td>Pranjal Sinha, Vikram Kumar</td>",<td>Campus Fund</td>,<td>$</td>,<td>Seed</td>
75,<td>Himshakti</td>,<td>2019</td>,<td>Dehradun</td>,<td>Food and Beverages</td>,<td>We are the first company to launch Indian pink salt. We also cater to restaurants and supply our products pan India</td>,<td>Harshit Sehdev</td>,<td>Indian Institute of Management Kashipur and Varun Agrawal</td>,<td>$1700000</td>,<td>Pre seed</td>
76,<td>GoFloaters</td>,<td>2017</td>,<td>Chennai</td>,<td>Information Technology</td>,<td>Pay-per-use office spaces for work and meetings across India</td>,"<td>Shyam Sundar Nagarajan, Srivatsan Padmanabhan</td>",<td>Loyal VC</td>,<td>$</td>,<td>Seed</td>
77,<td>Kinara Capital</td>,<td>2011</td>,<td>Bengalaru</td>,<td>Financial Services</td>,<td>Kinara Capital is a financing company that provides flexible collateral-free loans to small business entrepreneurs</td>,<td>Hardika Shah</td>,<td>Nuveen Investments and British International Investment</td>,<td>$153500000</td>,<td>Unknown</td>
78,<td>Bikebazar</td>,<td>2017</td>,"<td>São Paulo,</td>",<td>E-commerce</td>,"<td>Bikebazar is an online platform that facilitates the buy and sell of cycling products such as bicycles, parts, accessories, and clothing</td>",<td>Srinivas Kantheti</td>,<td></td>,<td>$</td>,<td></td>
79,<td>Oll</td>,<td>2020</td>,<td>Mumbai</td>,<td>Education</td>,"<td>OLL is a live experiential learning marketplace for Trending Skills of 21st Century, taught by verified quality educator</td>",<td>Shreyaan Daga</td>,<td>Harsh Metha and Sandeep Balaji</td>,<td>$13290000</td>,<td>Seed</td>
80,<td>Toffee Coffee</td>,<td>2019</td>,<td>Banglore</td>,<td>Food Processing</td>,<td>Toffee Coffee Roasters provides coffee that is artistically and roasted.</td>,<td>Nandini Shrivastava</td>,<td>Uday Chatterjee and Rajeev Sarda</td>,<td>$1000000</td>,<td>Seed</td>
81,<td>Papa pawsome</td>,<td>2019</td>,<td>Thane</td>,<td>Service industry</td>,<td>Papa Pawsome provides pet products for pets.</td>,<td>Nishita Agarwal</td>,<td>Mandar Joshi and ITI Growth Opportunities Fund</td>,<td>$20000000</td>,<td>Seed</td>
82,<td>XR Central</td>,<td>2020</td>,<td>Gurgaon</td>,<td>Software</td>,<td>XR Central is an interactive tech studio focused on using the Metaverse to solve real-world problems</td>,<td>Anshul Agarwal</td>,<td>Tarun Tahiliani and Nitin Seth</td>,<td>$2500000</td>,<td>Seed</td>
83,<td>Vs napu</td>,<td>2016</td>,<td>Banglore</td>,<td>E-Commerce</td>,<td>Vsnapu is an aggregator for photographer all over India. Enabling affordable photography for all.</td>,"<td>Kaushik Singh, Parminder Sahni</td>",<td>Inflection Point Ventures</td>,<td>$2000000</td>,<td>Seed</td>
84,<td>Equip.co</td>,<td>2020</td>,<td>Benglaru</td>,<td>Recruiting</td>,"<td>Equip.co, a platform for skill-based hiring, is concentrated on automating the recruitment and screening process</td>",<td>Jayanth Neelakanta</td>,<td>Better Capital</td>,<td>$6400000</td>,<td>Pre seed</td>
85,<td>Zevi</td>,<td>2021</td>,<td>Bengaluru</td>,<td>Software</td>,"<td>Zevi is a search engine with natural language processing at its core, along with vernacular support.</td>","<td>Anshul Basia, Shyam Nallasenapathy</td>",<td>Kube VC and Entrepreneur First a</td>,<td>$9050000</td>,<td>Pre seed</td>
86,<td>Purple tutor</td>,<td>2019</td>,<td>Mumbai</td>,<td>Education</td>,"<td>Edutech, Education Technology</td>",<td>Gaurav Perti</td>,<td>Arjun Malhotra and Disruptors Capital</td>,<td>$1600000</td>,<td>Series A</td>
87,<td>Zerund</td>,<td>2018</td>,<td>Guwahati</td>,<td>Manufacturing</td>,"<td>Zerund, a manufacturer of lightweight waste plastic bricks, is dedicated to bringing cutting-edge technologies to the construction industry.</td>","<td>David Gogoi, Mousum Talukdar, Rupam Choudhury</td>",<td>Dreamweaver Investments and Northeast Venture Fund (</td>,<td>$97570000</td>,<td>SEED</td>
